S. No.,Chapter,Schedules,Description of Goods,CGST Rate (%),SGST / UTGST Rate (%),IGST Rate (%),Compensation Cess
1,"0202, 0203,, 0101 21 00,, 1703, 7101, 7102, 7102,  0101, 2106 90 20",I,All goods [other than fresh or chilled] pre-packaged and labelled.,0.025,0.025,0.05,0.32R per unit
2,"0303, 0304,0305, 0306,, 1107, 7103, 7104, 102, 2202 10 10",I,All goods [other than fresh or chilled] pre-packaged and labelled.,0.025,0.025,0.05,0.12
5,"1404 90 50, 7105, 105, 2401",I,[Omitted,0.09,0.09,0.18,0.36R per unit
7,"401, 1520 00 00, 7107, 201, 2401 30 00",I,Ultra High Temperature (UHT) milk,0.025,0.025,0.05,0.32R per unit
8,"402, 1521, 7108, 0203,, 2402 10 10",I,"Milk  and  cream,  concentrated  or  containing  added  sugar or   other   sweetening   matter,   including   skimmed   milk",0.025,0.025,0.05,21% or Rs. 4170
9,"403, 1522, 7109, 0202,, 2402 10 10",I,"Yoghurt; Cream, kephir and other fermented or acidified milk and  cream,  whether  or  not  concentrated  or  containing  added sugar  or  other  sweetening  matter  or  flavored  or  containing",0.025,0.025,0.05,21% or Rs. 4170
10,"404, 2106 90 20, 7110, 2402 20 10",I,"Whey,  whether  or  not  concentrated  or  containing  added sugar  or  other  sweetening  matter;  products  consisting  of natural milk constituents, whether or not containing added sugar or other sweetening matter, not elsewhere specified or included",0.025,0.025,0.05,5% + Rs.2076 per
11,"406, 0402 91 10,, 1702, 7111, 2402 20 20",I,Chena  or  paneer pre-packaged and labelled,0.025,0.025,0.05,5% +
12,"408, 405, 1704, 2202 10, 7112, 2402 20 30",I,"Birds'  eggs,  not  in  shell,  and  egg  yolks,  fresh,  dried, cooked  by  steaming  or  by  boiling  in  water,  moulded, frozen or otherwise  preserved,  whether  or  not  containing",0.025,0.025,0.05,5% + Rs.2076 per
13,"409, 406, 1901 [other than, 2401, 7113, 2402 20 40",I,Natural honey pre-packaged and labelled,0.025,0.025,0.05,5% + Rs.2747 per
14,"410, 801, 2402, 2402 20 50",I,"Insects  and  other  edible  products  of  animal  origin,  not",0.025,0.025,0.05,5% + Rs.3668 per
15,"502, 802, 1904 [other than, 2403, 7115, 2402 20 90",I,"Pigs',  hogs'  or  boars'  bristles  and  hair;  badger  hair  and",0.025,0.025,0.05,36%  +
16,"504, 804, 1905, 7116, 2402 90 10",I,All goods [other than fresh or chilled] pre-packaged and labelled.,0.025,0.025,0.05,Rs.4006 per
17,"505, 813, 2101 20, 7117, 2402 90 20",I,"Skins and other parts of birds, with their feathers or down, feathers   and   parts   of   feathers   (whether   or   not   with trimmed   edges)   and   down,   not   further   worked   than cleaned,  disinfected  or  treated  for  preservation;  powder",0.025,0.025,0.05,12.5% or Rs.
18,"507, 1108, 2523, 7118, 3, 2402 90 90",I,"Ivory,   tortoise-shell,   whalebone   and   whalebone   hair,",0.025,0.025,0.05,12.5% or Rs.
19,"508, 1501, 301, 2403 11 10",I,"Coral and similar materials, unworked or simply prepared but not otherwise worked; shells of molluscs, crustaceans or   echinoderms   and   cuttle-bone,   unworked  or   simply",0.025,0.025,0.05,0.36R per unit
20,"510, 1502, 302, 2403 11 10",I,"Ambergris,  castoreum,  civet  and  musk; cantharides; bile, whether  or  not  dried;  glands  and  other  animal  products used in the preparation of pharmaceutical products, fresh,",0.025,0.025,0.05,0.12R per unit
21,"511, 1503, 2104, 0304,, 2403 11 90",I,Animal products not elsewhere specified or included; dead,0.025,0.025,0.05,0.08R per unit
22,"7, 1504, 2105 00 00, 0303,0304, 0305,0306, 0307,0308,0309, 2403 19 10",I,"Herb,  bark,  dry  plant,  dry  root,  commonly  known  as",0.025,0.025,0.05,0.69R per unit
25,"713, 1516, 2207, 401, 2404 11 00",I,"Dried   leguminous   vegetables,   shelled,   whether   or   not skinned or split   pre-packaged and labelled.",0.025,0.025,0.05,0.72
26,"714, 1517, 2209, 403, 2403 99 10",I,"Manioc,  arrowroot,  salep,  Jerusalem  artichokes,  sweet potatoes and  similar  roots and tubers with high starch or inulin content, frozen, whether or not sliced or in the form of pellets pre-packaged and labelled.",0.025,0.025,0.05,0.56R per unit
27,"801, 1518, 406, 2403 99 10",I,"Cashew    nuts,    whether   or   not    shelled    or   peeled,",0.025,0.025,0.05,0.56R per unit
28,"802, 1601, 2619, 407, 2403 99 10",I,"Dried areca nuts, whether or not shelled or peeled",0.025,0.025,0.05,0.56R per unit
29,"0802,, 1602, 2620, 409, 2403 99 20",I,"Dried  chestnuts  (singhada),  whether  or  not  shelled  or peeled",0.025,0.025,0.05,0.36R per unit
30,"8, 1603, 2621, 501, 2403 99 30",I,"Dried makhana, whether or not shelled or peeled pre-packaged and labelled.",0.025,0.025,0.05,0.56R per unit
31,"806, 1604, 2707, 506, 2403 99 40",I,"Grapes, dried, and raisins",0.025,0.025,0.05,0.36R per unit
32,"811, 1605, 2708, 0507 90, 2403 99 50",I,"Fruit and nuts, uncooked or cooked by steaming or boiling",0.025,0.025,0.05,0.36R per unit
33,"812, 2001, 2710, 511, 2403 99 60",I,"Fruit  and  nuts,  provisionally  preserved  (for  example,  by sulphur dioxide gas, in brine,  in sulphur water or in other preservative  solutions),  but  unsuitable  in  that  state  for",0.025,0.025,0.05,0.36R per unit
34,"814, 2002, 2711, 6, 2403 99 60",I,"Peel  of  citrus  fruit  or  melons  (including  watermelons), frozen,   dried   or   provisionally   preserved   in   brine,   in",0.025,0.025,0.05,0.36R per unit
35,"901, 2003, 2712, 701, 2403 99 70",I,"Coffee  roasted,  whether  or  not  decaffeinated coffee",0.025,0.025,0.05,0.14R per unit
36,"902, 2004, 2713, 702, 2403 99 90",I,"Tea,  whether  or  not  flavoured  [other  than  unprocessed",0.025,0.025,0.05,0.61R per unit
37,"903, 2005, 2714, 703, 2404 11 00, 2404 19 00",I,Maté,0.025,0.025,0.05,0.96
38,"904, 2006, 2715, 704, 2404 11 00, 2404 19 00",I,Pepper  of  the  genus  Piper;  dried  or  crushed  or  ground,0.025,0.025,0.05,0.89
